Forecast year:,2024,
Fish data file:,ThreeSiteMSI,
Predictor data file:,OCNForecastData.csv,
"Var1","Var2","Var3","Forecast","R2","OCV"
"JACKRATIO","PDO.MJJ",NA,0.0632110517012838,0.577741396909316,0.451315660351275
"PDO.MJJ","SPR",NA,0.0783828883146093,0.360372763838305,-0.157587236683731
"JACKRATIO","JACKPEAK",NA,0.0477741943696845,0.578862876747524,0.382561992282668
"JACKRATIO","UWI.JAS",NA,0.0497060026591094,0.564592230161312,0.453806793592534
"PDO.MJJ","SSH.AMJ",NA,0.144876472944881,0.65984839347693,0.531391907075245
"SPR","JACKPEAK",NA,0.0642922533390055,0.387129345445295,-0.0443007966011466
"PDO.MJJ","SST.AMJ",NA,0.0921699975512542,0.357729996007387,0.0942833269147626
Ensemble Mean, , ,0.07248297,0.64,0.46,
Lower 90% P.I., , ,0.02876199,
Upper 90% P.I., , ,0.2014444,
