Forecast year:,2024,
Fish data file:,ThreeSiteMSI,
Predictor data file:,OCNForecastData.csv,
"Var1","Var2","Var3","Forecast","R2","OCV"
"JACKRATIO","PDO.MJJ",NA,0.06321105170094,0.577741396909316,0.45131566035453
"PDO.MJJ","SPR",NA,0.0783828883146089,0.360372763838306,-0.157587236683214
"JACKRATIO","JACKPEAK",NA,0.0477741943696744,0.578862876747524,0.382561992282393
"JACKRATIO","UWI.JAS",NA,0.0497060026589512,0.564592230161313,0.45380679359234
"PDO.MJJ","SSH.AMJ",NA,0.144876472944907,0.65984839347693,0.531391907075117
"SPR","JACKPEAK",NA,0.0642922533389745,0.387129345445296,-0.0443007965995061
"PDO.MJJ","SST.AMJ",NA,0.0921699975512552,0.357729996007386,0.0942833269186678
Ensemble Mean, , ,0.07248297,0.64,0.46,
Lower 90% P.I., , ,0.02876035,
Upper 90% P.I., , ,0.2014215,
